Employee_ID,Region,Country,Department,Work_Type,Gender,Age,Tenure_Years,Salary_Band,eNPS,Safety_Culture,Cross_Border_Collab,Leadership_Trust,Work_Life_Balance,Career_Growth,Inclusion_Diversity,Operational_Stress,Fair_Compensation,Tech_Adequacy,Recognition,Environmental_Pride,Engagement,Job_Security,Managerial_Support,Ethical_Standards,Training_Quality,Communication_Clarity,Team_Cohesion,Retention_Intent,Open_Comments
MAR-00001,South America,Brazil,Maritime-Crew,Offshore/Vessel,Female,45.8,20.8,Junior,4,3,4,4,1,2,3,5,3,3,4,4,4,4,3,3,4,3,4,3,"My direct manager is supportive, though upper leadership feels distant from daily operational realities. Training quality varies depending on location. Job security feels reasonable given current freight market conditions."
MAR-00002,North America,Canada,Operations-Ports,On-site,Male,35.3,10.3,Senior,3,3,4,3,3,3,4,4,4,4,5,3,3,3,3,4,3,3,3,4,
MAR-00003,North America,USA,Logistics-Trucking,On-site,Male,43.2,16.2,Senior,4,4,3,4,3,3,4,4,4,3,4,4,3,4,3,3,3,4,3,4,
MAR-00004,North America,Canada,Logistics-Trucking,On-site,Male,49.5,21.5,Junior,2,3,4,4,4,4,3,3,4,3,3,3,3,4,2,4,3,4,4,3,
MAR-00005,North America,Mexico,Maritime-Crew,Offshore/Vessel,Male,50.1,22.1,Mid,4,3,3,3,1,3,3,5,4,4,4,3,3,3,3,2,2,3,4,2,Compensation has not kept pace with inflation or industry benchmarks. Management turnover has been disruptive and has eroded team trust. I lack confidence in the company's long-term direction.
MAR-00006,South America,Argentina,Logistics-Trucking,Remote,Female,32.1,3.1,Mid,3,4,3,4,3,3,3,3,4,2,4,4,2,2,4,3,4,3,5,2,
MAR-00007,Central America,Honduras,Operations-Ports,On-site,Male,44.8,20.8,Mid,3,4,4,4,4,3,4,3,3,3,3,2,4,4,2,3,4,4,5,5,
MAR-00008,Central America,Costa Rica,Operations-Ports,On-site,Male,33.2,7.2,Mid,4,3,2,4,3,3,3,3,4,4,3,3,2,3,3,5,3,4,3,3,"Work schedules could be more predictable, especially during high-season port congestion. Recognition programs exist but feel inconsistent across departments. Better inter-regional communication would improve coordination."
MAR-00009,South America,Colombia,HR,On-site,Male,45.3,18.3,Junior,3,3,5,1,4,2,4,4,2,3,1,4,1,3,3,4,5,4,3,2,
MAR-00010,North America,Canada,HR,Remote,Female,35.5,8.5,Mid,4,4,3,4,4,4,4,3,2,5,5,3,3,4,3,3,4,3,3,3,
MAR-00011,North America,Canada,Logistics-Trucking,On-site,Male,30.9,1.9,Mid,4,4,3,4,2,3,3,3,3,3,4,2,3,3,3,4,4,4,3,3,
MAR-00012,South America,Chile,Operations-Ports,On-site,Female,31.6,5.6,Mid,3,4,4,3,3,4,5,5,3,3,2,4,4,4,3,3,2,3,3,3,
MAR-00013,South America,Colombia,Logistics-Trucking,Offshore/Vessel,Female,36.5,10.5,Mid,3,3,2,2,5,2,3,5,5,3,3,4,5,3,3,4,4,3,3,2,Leadership communicates openly about company direction and challenges. Compensation feels fair given my experience and contributions. I appreciate the flexibility offered for administrative staff.
MAR-00014,North America,Canada,Sales/Customer Service,On-site,Female,40.7,18.7,Executive,3,3,4,3,4,4,4,4,3,3,3,4,4,5,4,4,3,3,4,4,
MAR-00015,North America,Mexico,HR,Remote,Male,25.0,3.0,Senior,4,2,4,4,3,2,4,3,3,3,3,3,4,2,3,4,4,3,2,3,
MAR-00016,North America,Canada,Operations-Ports,Remote,Male,47.4,20.4,Mid,5,2,4,3,3,2,3,4,4,5,4,4,5,4,2,3,3,3,4,3,
MAR-00017,South America,Argentina,Sales/Customer Service,On-site,Male,50.9,24.9,Junior,4,3,4,4,5,3,2,3,3,3,4,4,3,3,4,3,3,4,4,4,
